framework,neurons,forward,backward,memory
Rockpool<br>v2.7,512,0.5370575189590454,0.3929328918457031,224404480
Rockpool<br>v2.7,4096,0.6190436482429504,1.693268060684204,1843463168
Rockpool<br>v2.7,8192,0.7726977666219076,1.8559740384419758,3810657280
Rockpool EXODUS<br>v2.7,512,nan,nan,0
Rockpool EXODUS<br>v2.7,4096,nan,nan,0
Rockpool EXODUS<br>v2.7,8192,nan,nan,0
snnTorch<br>v0.7.0,512,0.21930665969848634,0.12116854331072639,101212160
snnTorch<br>v0.7.0,4096,0.2517068650987413,0.29547170230320524,858562560
snnTorch<br>v0.7.0,8192,0.5316418409347534,0.7728563149770101,2131362816
Lava DL<br>v0.4.0.dev0,512,0.002676320904716451,0.004092555348370948,151331840
Lava DL<br>v0.4.0.dev0,4096,0.0413358211517334,0.022942618890242142,1255678976
Lava DL<br>v0.4.0.dev0,8192,0.11928739267237046,0.09231607480482622,2909806080
Spyx full-precision v0.1.9,512,0.017824094907372398,0.04740338287386185,nan
Spyx full-precision v0.1.9,4096,0.4240721225738525,0.891455078125,nan
Spyx full-precision v0.1.9,8192,1.6346806685129802,3.217236439387003,nan
Spyx half-precision v0.1.9,512,0.03899453236506535,0.07789674579587758,nan
Spyx half-precision v0.1.9,4096,0.6155067682266235,0.8670450448989868,nan
Spyx half-precision v0.1.9,8192,1.9288682142893474,3.467363913853963,nan
