framework,neurons,forward,backward,memory
Rockpool<br>v2.7,4096,0.29970390456063406,0.667931318283081,1851982848
Rockpool<br>v2.7,8192,0.3267139026096889,1.3237467606862385,3827696640
Rockpool<br>v2.7,16384,0.42076969146728516,2.6448755264282227,8175223808
Rockpool EXODUS<br>v2.7,4096,0.011342586097070726,0.014318760803767613,2192186368
Rockpool EXODUS<br>v2.7,8192,0.03338968753814697,0.029999149379445547,4485028864
Rockpool EXODUS<br>v2.7,16384,0.12983094155788422,0.060176147733415876,9489882112
Sinabs<br>v1.2.10,4096,0.06177480293042732,0.5092417597770691,1392647680
Sinabs<br>v1.2.10,8192,0.07087373733520508,1.019187053044637,2908511744
Sinabs<br>v1.2.10,16384,0.144811749458313,2.0454243818918862,6486161920
Sinabs EXODUS<br>v1.1.2,4096,0.009225096021379744,0.016139781951904297,1605931008
Sinabs EXODUS<br>v1.1.2,8192,0.03005366538887593,0.03132152924170861,3440185344
Sinabs EXODUS<br>v1.1.2,16384,0.12296246079837575,0.05576737721761068,7937069056
Norse<br>v1.0.0,4096,0.006653088667860063,0.006425885053781362,1256351744
Norse<br>v1.0.0,8192,0.01681840720296908,0.022096529111757385,2369960448
Norse<br>v1.0.0,16384,0.02886927809034075,0.08062549591064454,5427777024
snnTorch<br>v0.7.0,4096,0.10842570505644146,0.1570311693044809,867047424
snnTorch<br>v0.7.0,8192,0.24062222904629177,0.59576416015625,2148367360
snnTorch<br>v0.7.0,16384,0.7138158480326334,2.364412466684977,6964052992
SpikingJelly PyTorch<br>v0.0.0.0.15,4096,0.05730382374354771,0.28432852029800415,1521369088
SpikingJelly PyTorch<br>v0.0.0.0.15,8192,0.06085205078125,0.5822606682777405,3168567296
SpikingJelly PyTorch<br>v0.0.0.0.15,16384,0.146479674748012,1.194555679957072,6856966144
Lava DL<br>v0.4.0.dev0,4096,0.006564914984781234,0.00991758143547738,1255678976
Lava DL<br>v0.4.0.dev0,8192,0.01967342928344128,0.026333184618698924,2641370624
Lava DL<br>v0.4.0.dev0,16384,0.0667802095413208,0.10400917530059814,6893346304
SpikingJelly CuPy<br>v0.0.0.0.15,4096,0.005454540252685547,0.004506581001453572,1261060096
SpikingJelly CuPy<br>v0.0.0.0.15,8192,0.012077696352119905,0.02931801132533861,2646376448
SpikingJelly CuPy<br>v0.0.0.0.15,16384,0.019734772352071907,0.09843729791187104,5963712000
Spyx full-precision v0.1.18,4096,0.004004952907562256,0.006975946309136563,nan
Spyx full-precision v0.1.18,8192,0.012133660086666245,0.018808079362467995,nan
Spyx full-precision v0.1.18,16384,0.029881459825179157,0.04647500413695192,nan
Spyx half-precision v0.1.18,4096,0.0019789298611272103,0.0035006111201029786,nan
Spyx half-precision v0.1.18,8192,0.006614606372594046,0.009691910228224123,nan
Spyx half-precision v0.1.18,16384,0.01914517084757487,0.027869775313739627,nan
