,framework,neurons,pass,time [s]
0,Norse<br>v1.0.0,512,forward,0.11101327444377698
1,Norse<br>v1.0.0,4096,forward,0.11376003424326579
2,Norse<br>v1.0.0,16384,forward,0.4844661235809326
3,Lava DL<br>v0.4.0.dev0,512,forward,
4,Lava DL<br>v0.4.0.dev0,4096,forward,
5,Lava DL<br>v0.4.0.dev0,16384,forward,0.6240833401679993
6,Norse<br>v1.0.0,512,backward,0.10882580907721269
7,Norse<br>v1.0.0,4096,backward,0.4447681427001953
8,Norse<br>v1.0.0,16384,backward,1.963892141977946
9,Lava DL<br>v0.4.0.dev0,512,backward,
10,Lava DL<br>v0.4.0.dev0,4096,backward,
11,Lava DL<br>v0.4.0.dev0,16384,backward,0.5156954526901245
